# 仓库拆分 commit hash 映射（2026-07-24, git filter-repo --subdirectory-filter stock-sieve）
# 格式: <旧hash> <新hash>
# 关键节点: cda3940->6545137 / e2429db->b109ab4 / 471f88c->084c6bc / 8e94efb->a2de09f

old                                      new
b09825dfb47e4f6527205cec202dc9d6b714cc67 a6b07b3be6f9b6d115cc3f3482e4d860cafbabd6
b1337d2996a6c87329722d0366cbce02b84d68b2 b4896c0f778008d1d47d37e5bc3b060131adc345
b56e90b8800b07d4b6a27265a21d21241cb881c4 fbfde71bfe7362d4bef46bed057a37e00622451a
c393f1deb1c11c08c4a029220af7cca8e4f2fe86 91338b570404c2f6cffdcdd3e47638bb57a55e8c
c46c998be27af695e51cb207a0da66b01feaafcd 0000000000000000000000000000000000000000
c5506a034514204f8035e5daad5faa5176210347 c68e62368bac8d0a54768e41e966ba67a0b66333
c5dc740fa90ac9b795b2b3acebdeaa636ba98654 0000000000000000000000000000000000000000
c6e002af52c3eadc4fe095c8fa329d3bcb31fadb 6cfda42bf68a5d178bc8e7b05afde83f230fbdb7
cac2619bb7c2c865e4d54f15bf1ca80d69af0984 951f2f310d21cef770a6df195f9ea9655bdb69aa
cda394089188a2a3d83d091deeec91d27985264e 654513780332c848a697884846cc4bfde96e64c7
ce472608ce3a9e1fc58432bb03e240c06bb5390d ce32835fdf41ab4c31ab772e8b155eeef27df2d9
ceddef8250adfa821d088717bcde2c644a47ce31 e0dcf4f48601012f256266acb11269b37e4e72fb
d012029dc185b24af6232923b724fa1486a2823e 95c7eabe850febb9da772a73f58e213ad2a810b0
d1722b1fe528e57352969989909768c42138c747 6d07673f9cb6dcc3ee6f8504f8cfdf56d2ac3685
d1f4cea819a8b3198304f61df5a1dc397ab18952 0000000000000000000000000000000000000000
d264e9c44cffa26efc94eb2ce87cdb1c6f842c2d 3690c36e4ba15b49fbba75aff9f405819adb4b63
d2ab35c249d8181598d4158ab9c7b24b77cfd3ba 263cc4fe3c619d96de8d7887383147de32079f94
d3ed018db00497d5fc3bc52752f76e36a0905c4e 0ed3d35bb06dede557de5ee85c222ba9e024d29e
dc340cfe8c8ea25ac1411a33ca2ebc58c05d50b3 2a6d58dc5d2e6849e142edf3898a238eef8e5faa
dc4607ea46d69846169f5b497ffc3b989fceec73 e7e9f59a1f60c6478e72dcd66ea0ee863cfa4e6c
dd197b2db022c5742b1a33ee0b7c729293713f66 cd128cdc906585fa03490709d3585308b4990c0c
de3eb4f4b968f9abeb4aaa7971b47a17be58e1d9 614de29c551b2609aa0a2ca590709912f51ada8e
e2429dbc9c05cdd085154a8bcdc97ea18933427c b109ab46b74c013e8e5f59ecdbe11ae504058333
e90a19902d1497074c65e99406ab8262eaf71b18 8629da9ff649935a8a7113e14ffed3498af96bef
e90ea1ca5395356a17e8ec110ef1dd10db7fed4c 321b5ee819912e5a1f17d09f51e5342912cab26a
e9438774a8bfef78e3cada5ebb27bd0cf2ae414b ce4a3645681727780ff41775e8907dc51fcba58a
eafe28325538fb4e06db00b31a09e3636422afa1 8b10a4d6ff33d6199cb34530aefa0bccf97b64b7
f08254724a339e59122525738d3b2a86b6f294ae 0000000000000000000000000000000000000000
ff1115e211f89cd54232899fd6b316079baf7ccc 37225a8cf5ed762ba0962bca6d746a3ba37b8573
